I/D,Date,Open,High,Low,Close,Adj Close,Volume
D,9/18/20,447.940002,451,428.799988,442.149994,442.149994,86406800
D,9/21/20,453.130005,455.679993,407.070007,449.390015,449.390015,109476800
D,9/22/20,429.600006,437.76001,417.600006,424.230011,424.230011,79580800
D,9/23/20,405.160004,412.149994,375.880005,380.359985,380.359985,95074200
I,9/24/20,363.799988,399.5,351.299988,387.790009,387.790009,96561100
I,9/25/20,393.470001,408.730011,391.299988,407.339996,407.339996,67208500
D,9/28/20,424.619995,428.079987,415.549988,421.200012,421.200012,49719600
I,9/29/20,416,428.5,411.600006,419.070007,419.070007,50219300
I,9/30/20,421.320007,433.929993,420.470001,429.01001,429.01001,48145600
I,10/1/20,440.76001,448.880005,434.420013,448.160004,448.160004,50741500
D,10/2/20,421.390015,439.130005,415,415.089996,415.089996,71430000
I,10/5/20,423.350006,433.640015,419.329987,425.679993,425.679993,44722800
D,10/6/20,423.790009,428.779999,406.049988,413.980011,413.980011,49146300
I,10/7/20,419.869995,429.899994,413.850006,425.299988,425.299988,43127700
D,10/8/20,438.440002,439,425.299988,425.920013,425.920013,40421100
I,10/9/20,430.130005,434.589996,426.459991,434,434,28925700
I,10/12/20,442,448.73999,438.579987,442.299988,442.299988,38791100
I,10/13/20,443.350006,448.890015,436.600006,446.649994,446.649994,34463700
I,10/14/20,449.779999,465.899994,447.350006,461.299988,461.299988,47879700
D,10/15/20,450.309998,456.570007,442.5,448.880005,448.880005,35672400
D,10/16/20,454.440002,455.950012,438.850006,439.670013,439.670013,32775900
D,10/19/20,446.23999,447,428.869995,430.829987,430.829987,36287800
D,10/20/20,431.75,431.75,419.049988,421.940002,421.940002,31656300
D,10/21/20,422.700012,432.950012,421.25,422.640015,422.640015,32370500
D,10/22/20,441.920013,445.230011,424.51001,425.790009,425.790009,39993200
D,10/23/20,421.839996,422.890015,407.380005,420.630005,420.630005,33717000
I,10/26/20,411.630005,425.76001,410,420.279999,420.279999,28239200
I,10/27/20,423.76001,430.5,420.100006,424.679993,424.679993,22686500
D,10/28/20,416.480011,418.600006,406,406.019989,406.019989,25451400
I,10/29/20,409.959991,418.059998,406.459991,410.829987,410.829987,22655300
D,10/30/20,406.899994,407.589996,379.109985,388.040009,388.040009,42511300
I,11/2/20,394,406.980011,392.299988,400.51001,400.51001,29021100
I,11/3/20,409.730011,427.769989,406.690002,423.899994,423.899994,34351700
D,11/4/20,430.619995,435.399994,417.100006,420.980011,420.980011,32143100
I,11/5/20,428.299988,440,424,438.089996,438.089996,28414500
D,11/6/20,436.100006,436.570007,424.279999,429.950012,429.950012,21706000
D,11/9/20,439.5,452.5,421,421.26001,421.26001,34833000
D,11/10/20,420.089996,420.089996,396.029999,410.359985,410.359985,30284200
I,11/11/20,416.450012,418.700012,410.579987,417.130005,417.130005,17357700
D,11/12/20,415.049988,423,409.519989,411.76001,411.76001,19855100
D,11/13/20,410.850006,412.529999,401.660004,408.5,408.5,19771100
D,11/16/20,408.929993,412.450012,404.089996,408.089996,408.089996,26838600
D,11/17/20,460.170013,462,433.01001,441.609985,441.609985,61188300
I,11/18/20,448.350006,496,443.5,486.640015,486.640015,78044000
I,11/19/20,492,508.609985,487.570007,499.269989,499.269989,62475300
D,11/20/20,497.98999,502.5,489.059998,489.609985,489.609985,32911900
I,11/23/20,503.5,526,501.790009,521.849976,521.849976,50260300
